Name,Department,Designation,Email,Contact No.
"Andrew McIlroy, MA, MS",Office of Budget,"Deputy Assistant Secretary, Office of Budget",,
Les’ Melnyk,VA History Office,NCA Chief Historian,,
Michael J. Missal,Office of the Inspector General,Inspector General,,
Alfred A. Montoya,Health for Operations,Deputy Assistant Under Secretary for Health for Operations,,
Wilmya Hardy Morneau,Center for Minority Veterans,"Data and Program Analyst, Center for Minority Veterans",,
Barbara C. Morton,Veterans Experience Office,Deputy Chief Veterans Experience Officer,,
Edward J. Murray,Office of Management,Principal Deputy Assistant Secretary for Management and Deputy Chief Financial Officer,,
RimaAnn O. Nelson,Health for Operations,"Assistant Under Secretary for Health for Operations, Veterans Health Administration",,
John Oswalt,Freedom of Information Act (FOIA),Deputy Chief Information Officer for the Office of Freedom of Information Act,,
Christopher D. Parker,"Office of Procurement, Acquisition, and Logistics (OPAL)","Associate Executive Director, Strategic Acquisition Center and Acting Associate Executive Director, National Acquisition Center",,
Michael D. Parrish,"Office of Acquisition, Logistics, and Construction (OALC)",Chief Acquisition Officer and Principal Executive Director,,
L. Homana Pawiki,Office of Tribal Government Relations,Tribal Government Relations Specialist,,
Jennifer M. Perunko,VA History Office,NCA Historian,,
Matthew Quinn,National Cemetery Administration,Under Secretary of Memorial Affairs,,
Sharon G. Ridley,Office of Small and Disadvantaged Business Utilization,"Executive Director, Office of Small and Disadvantaged Business Utilization",,
Teresa (Terry) L. Riffel,Financial Management Business Transformation Service,Deputy Assistant Secretary for Financial Management Business Transformation Service,,
Robyn Rodgers,VA History Office,Senior Archivist,,
Lisa Rosenmerkel,Office of Enterprise Integration,"Acting Executive Director Data Governance and Analytics, Chief Data Officer",,
Patricia Ross,Office of Congressional and Legislative Affairs,Assistant Secretary for Congressional and Legislative Affairs,,
Arnold Russo,Office of Acquisition and Logistics (OAL),"Associate Executive Director, Office of Acquisition Program Support",,
Jon J. Rychalski,Office of Management,Assistant Secretary for Management and Chief Financial Officer,,
Ronald M. Sagudan,Center for Minority Veterans,"Program Analyst, Center for Minority Veterans",,
"M. Christopher Saslo, DNS, ARNP-BC, FAAN",Patient Care,Assistant Under Secretary for Health for Patient Care Services/Chief Nursing Officer (AUHS-PCS/CNO),,
"Erica M. Scavella, MD, FACP, FACHE",Health for Clinical Services,"Assistant Under Secretary for Health for Clinical Services and Chief Medical Officer, Veterans Health Administration",,
Jeffrey Seiken,VA History Office,VBA Historian,,
Kurt Senn,VA History Office,National VA History Center Curator,,
C. Brett Simms,Office of Asset Management,"Executive Director, Office of Asset Management",,
Terry. L. Spitzmiller,VHA Procurement and Logistics Office,"Executive Director, Regional Procurement Office Central",,
"Ryung Suh, MD",Office of the Under Secretary of Health,"Chief of Staff (10B), Veterans Health Administration",,
Mr. Gary C. Tallman,Office of Public and Intergovernmental Affairs (OPIA),Principal Deputy Assistant Secretary,,
Brandye Terrell,Veterans Benefits Administration,Chief of Staff,,
John D. Thomas,Office of Construction and Facilities Management (CFM),"Associate Executive Director, Office of Real Property",,
Jim Tisdale,VHA Procurement and Logistics Office,Deputy Chief Operating Officer,,
Krystal M. Toles,VHA Chief of Staff,Deputy Chief of Staff,,
"Mark T. Upton, MD",Office of the Deputy Under Secretary for Health,Deputy to the Deputy Under Secretary for Health,,
Peter Scott Vicaire,Office of Tribal Government Relations,Central Region Tribal Government Relations Specialist,,
Mike Visconage,VA History Office,VA Chief Historian,,
Ken Wagner,Office of Enterprise Integration,"Acting Executive Director, Office of Enterprise Policy and Governance",,
Debra A. Walker,Center for Minority Veterans,"Deputy Director, Center for Minority Veterans",,
David Clay Ward,Intergovernmental Affairs (IGA),Rural Desk Officer,,
Conrad Washington,Center for Faith-Based and Neighborhood Partnerships (CFBNP),"Director, Center for Faith-Based and Neighborhood Partnerships (CFBNP)",,
